"review_date","review_rating","review_title","review_text","review_response","source"
"2022-12-18","8.0","","la posizione, la gentilezza dello staff, la colazione spettacolare

Negative: il wc, water separato dal resto e raggiungibile con tre gradini ripidi","","booking"
"2022-12-18","9.0","","Clean, kind staff and fantastic breakfast.","","booking"
"2022-12-19","8.0","","","","booking"
"2022-12-20","10.0","Highly recommended for a city getaway","Great location, beautiful decoration, charming room, tasty breakfast, friendly staff - all in all a relaxing stay in proximity to everything we wanted.","","booking"
"2022-12-21","8.0","Perfekt läge, fantastisk frukost och trevlig personal.","Bra läge, fantastisk frukost trevlig hjälpsam personal.

Negative: Liten dusch och för få klädhängare, det fanns fön men sladden räckte inte till spegeln.","","booking"
"2022-12-22","10.0","","","","booking"
"2022-12-23","7.0","","

Negative: Man sollte ein Zimmer nach hinten heraus wählen oder Ohropax dabei haben. Die Straßenseite ist 24Std laut.","","booking"
"2022-12-25","9.0","razoável","decoração

Negative: não me parceria bem limpo. como fiquei 11 noites percebia que quando elas entravam para limiar não levava mais do qie 10 min. não trufavam as toalhas de banho todos os dias e o problema não é a troca mas o fato delas ficarem molhadas por até 3 dias sem trocar. é ruim não ter uma forma de seca las pelo menos. muito barulho da rua à noite e se fechar totalmente a janela fica abafado.","","booking"
"2022-12-26","9.0","Une très bonne adresse au centre de Lisbonne","un très bon accueil, chambre impeccable.","","booking"
"2022-12-26","9.0","","O hotel é bem localizado, próximo de duas estações de metrô, paradas de ônibus, bonde e tram. O deslocamento para quaisquer pontos turísticos é fácil. Na área, há vários restaurantes, bares, lojas... não haverá problema nesse quesito. Achei a área calma, não me incomodei com barulho. Cheguei de carro, e tem estacionamentos próximos. Gostei do café da manhã.

Negative: O hotel fica numa ladeira. Então, se chegar de metrô ou qualquer outro meio de transporte que não te deixe na porta, você terá que subir com suas malas por uma ladeira. Tive problema com o Wi-Fi no meu quarto - ao que parece, o repetidor de sinal que ficava na porta do meu quarto não estava replicando o sinal. Na véspera da minha volta, resolvi desplugar e plugar na tomada, e funcionou normal o Wi-Fi. Pedi auxílio ao pessoal da recepção, disseram que averiguariam, mas, ao ver que a solução que eu mesmo obtive foi simples, me pergunto se alguém se deu ao trabalho de ir lá verificar. O café da manhã, caso você não solicite diariamente troca de alguns produtos, virá repetido todos os dias.","","booking"
"2022-12-26","8.0","belle découverte de la ville","la gentillesse du personnel 
propreté 
Petit déj
localisation

Negative: que la réception ferme de bonne heure qui a fait que nous n’avons pas pu les joindre lors de notre arrivée pour prévenir de notre retard 
nous avons dû prendre une chambre d’hôtel au dernier moment","","booking"
"2022-12-27","10.0","perfeita!","acomodação limpa, próximo de pontos turísticos, café da manhã sensacional (um dos melhores que já tive), funcionários atenciosos e sempre dispostos a te ajudar; quando voltar em Lisboa ficarei no hotel novamente!

Negative: hotel sensacional!","","booking"
"2022-12-27","8.0","","","","booking"
"2022-12-29","9.0","","Fantastic location, wonderful staff and excellent breakfasts.

Negative: Television in room 10 didn't work but it didn't really bother us.","","booking"
"2022-12-31","9.0","merci à Claudia et son équipe pour leur accueil bienveillant ! nous avons passé un excellent séjour et nous avons été su","l'accueil du personnel 
l'emplacement 
la surface de la chambre

Negative: l'insonorisation","","booking"
"2023-01-01","10.0","Don’t hesitate… Just book it!","Omg, just book it! What a find! Beautiful independent operation. Style, flair and integrity in all the design & furnishings. Somebody with a great eye has a hand in what goes on here. Huge, and I mean huge, bedroom… total comfort! Seriously magnificent cooked to order breakfasts, fresh fruit & juices. Just down the street from the food markets & a short stroll to all the sights. While it doesn’t have a bar, a total treasure just on the adjoining street is By the Wine wine/tapas bar. What are you waiting for?… just book it ;-)

Negative: Not a huge gripe, but we were in Room 1, right bedside the front desk. Sadly, conversations (not that there were many) at the desk feel like they’re literally taking place in your room. (mgt: Easily sorted by building an in-room lobby?… there’s plenty of space).","","booking"
"2023-01-01","9.0","","It was a small cozy boutique hotel and the staff were extremely helpful. There was an amazing breakfast spread and the hotel was centrally located with easy access to restaurants and public transportation.","","booking"
"2023-01-02","10.0","","","","booking"
"2023-01-03","10.0","Would def stay again. Loved it","Loved the breakfast. Staff was amazing and accommodating even with last minute requests.

Negative: Nothing","","booking"
"2023-01-04","10.0","Location, accommodation and most importantly people were beyond exceptional.","Breakfast was prepared as per your requested food and drink. Excellent food and exceptional service. Everyone went out of their way to accommodate and make our stay very enjoyable.","","booking"
"2023-01-04","9.0","","","","booking"
"2023-01-05","10.0","","There were very nice people in the staff, always prepared to help you with any necessary answers or solutions! Good job :) Thank you for a nice vacation!","","booking"
"2023-01-05","8.0","","","","booking"
"2023-01-05","9.0","","","","booking"
"2023-01-07","9.0","","","","booking"
"2023-01-08","10.0","","","","booking"
"2023-01-08","10.0","","","","booking"
"2023-01-09","10.0","","","","booking"
"2023-01-10","9.0","Recommend","Nice location, friendly staff, quiet room","","booking"
"2023-01-10","10.0","Hospedagem muito boa! Voltaríamos e com certeza recomendamos.","o perfume do hotel é maravilhoso

Negative: faltou frutas no café da manhã","","booking"
"2023-01-11","8.0","Bien si buscas algo muy en el centro","El personal sin duda, la ubicaciÃ³n y el gusto en la decoraciÃ³n

Negative: Al ser un palacete antiguo, hay mucho ruido y huele un poco a humedad","","booking"
"2023-01-12","10.0","I would definitely stay there again!!","room was large, bed was very comfortable and the shower was great.  The service was outstanding and the breakfasts were wonderful!!

Negative: there was nothing we did not like","","booking"
"2023-01-13","8.0","","","","booking"
"2023-01-14","9.0","","propre, bien situé, service de qualité, très bon petit déjeuner.","","booking"
"2023-01-14","10.0","מושלם!!!!","מיקום מרכזי, מלון בוטיק מדהים!!!! שילוב של ישן וחדש, שרות של הצוות מעל ומעבר למצופה, קלאודיה בעלת המלון מדהימה ועושה הכל כדי שהשרות יהיה מושלם. ארוחת בוקר מושקעת מאד, שרות בחדר האוכל מעולה, המלון נקי מאד גם בחדרים, בלובי, בחדר האוכל. פשוט מושלם.
המלון ממוקם באזור מרכזי, קרוב מאד לתחנת המטרו, ממול למלון סופר מרקט קטן. 
אין ספק שנחזור.

Negative: לא היה משהו כזה","","booking"
"2023-01-16","10.0","","L'accueil la propreté de la chambre le petit déjeuner ainsi que la proximité du centre.hotel très bien situé

Negative: Peut être améliorer le WiFi. Le problème du ménage. Si vous quittez la chambre après 13h30 la chambre n'est pas faite. En principe à ce niveau il faut un service de chambre sans contrainte.","","booking"
