Check-in;Check-out;Booked;Room;Payment type;Booking amount;Status;booking_id_hash;confirmation_id_hash
2024-12-26;2024-12-28;2024-04-11T11:03:00-07:00;Double or Twin Room;Expedia Collect;228.12;postStay;7af12cb9df061361fad6acac153459ea2fb0d1925348f4193c9f9a60ebba3bbb;7af12cb9df061361fad6acac153459ea2fb0d1925348f4193c9f9a60ebba3bbb
2024-12-27;2024-12-28;2024-06-01T20:03:00-07:00;Double or Twin Room;Expedia Collect;125.46;postStay;292a2ee7d896d7d424dc699f35825568744b7f810ec29cbf3b9241a9608ce695;292a2ee7d896d7d424dc699f35825568744b7f810ec29cbf3b9241a9608ce695
2024-12-29;2025-01-01;2024-04-24T22:30:00-07:00;Suite;Expedia Collect;466.56;postStay;36dcb144e29486d1d6353c0c0c249c8691243f0cfe1b7a24816e65b2778fe912;36dcb144e29486d1d6353c0c0c249c8691243f0cfe1b7a24816e65b2778fe912
2024-12-31;2025-01-01;2024-11-17T06:10:00-08:00;Deluxe Suite;Expedia Collect;233.24;postStay;05ba909be4c2ad0e44c53e2ac452a8dfcb6cd4d330bc3f4a965a286980ee1bf9;05ba909be4c2ad0e44c53e2ac452a8dfcb6cd4d330bc3f4a965a286980ee1bf9
2024-12-31;2025-01-01;2024-11-06T03:09:00-08:00;Double or Twin Room;Expedia Collect;173.4;postStay;0850b26b114f64d4922a280c821e10af509116aa379bc36ba96f28dadb06f926;0850b26b114f64d4922a280c821e10af509116aa379bc36ba96f28dadb06f926
2025-01-05;2025-01-09;2024-11-30T03:03:00-08:00;Suite;Expedia Collect;474.88;postStay;e5aad951e65aec88a1e7b748534689b975c79f8fc801ff53850902d8dc28af07;e5aad951e65aec88a1e7b748534689b975c79f8fc801ff53850902d8dc28af07
2025-01-11;2025-01-12;2024-12-01T22:19:00-08:00;Deluxe Suite;Expedia Collect;138.33;postStay;b4e65c9ef7172d229cf2f5c190f7d583f78ab24e725629e64afd20163185335d;b4e65c9ef7172d229cf2f5c190f7d583f78ab24e725629e64afd20163185335d
2025-01-11;2025-01-15;2024-11-21T07:41:00-08:00;Double or Twin Room;Expedia Collect;427.67;postStay;091dfb28c7b05f2a5a47a829148ebb708631e0b392ff8218571a5e42fe74469b;091dfb28c7b05f2a5a47a829148ebb708631e0b392ff8218571a5e42fe74469b
2025-01-11;2025-01-15;2024-11-21T07:41:00-08:00;Double or Twin Room;Expedia Collect;427.67;postStay;ccedd4d412ef53eff2b865c84f3d63039d3da74cf1b54b129f3ec03efedb5051;ccedd4d412ef53eff2b865c84f3d63039d3da74cf1b54b129f3ec03efedb5051
2025-01-15;2025-01-17;2025-01-15T03:53:00-08:00;Double or Twin Room;Expedia Collect;204.78;postStay;e301555983ecfb9f1137f652726d57cc268c8b0b37dbddc4bbe969b3dd4f522c;e301555983ecfb9f1137f652726d57cc268c8b0b37dbddc4bbe969b3dd4f522c
2025-01-18;2025-01-19;2024-10-01T13:36:00-07:00;Deluxe Suite;Expedia Collect;139.33;postStay;29fd98727545077383fcc9da6fa1fa88c0238861b9e11d93d5cc5b4a02709046;29fd98727545077383fcc9da6fa1fa88c0238861b9e11d93d5cc5b4a02709046
2025-01-21;2025-01-24;2024-09-16T11:29:00-07:00;Suite;Expedia Collect;399.6;postStay;add6fe51ffef81aa5839543b4843ff601e24ae64dc2ba3ec27c72cd07acfda7d;add6fe51ffef81aa5839543b4843ff601e24ae64dc2ba3ec27c72cd07acfda7d
2025-01-21;2025-01-24;2024-09-16T07:04:00-07:00;Suite;Expedia Collect;0.0;cancelled;687f4c07f83eca2e4ecfd8981b049e90f658ba3b884dba351395fb8aa5f7d02b;687f4c07f83eca2e4ecfd8981b049e90f658ba3b884dba351395fb8aa5f7d02b
2025-01-22;2025-01-23;2025-01-19T16:03:00-08:00;Double or Twin Room (Small);Expedia Collect;89.6;postStay;0f6f8ea3b19145d8f27fbf6efb63ac3f68b6eeccfcaf84affd2d89174cfaa0de;0f6f8ea3b19145d8f27fbf6efb63ac3f68b6eeccfcaf84affd2d89174cfaa0de
2025-01-24;2025-01-27;2024-11-27T18:15:00-08:00;Suite;Expedia Collect;453.63;postStay;23c35983c92429df966322934df2ceb4c8c9654a6fc733f953ce8856b6404e64;23c35983c92429df966322934df2ceb4c8c9654a6fc733f953ce8856b6404e64
