Data do comentário,Nome do hóspede,Número da reserva,Título do comentário,Comentário positivo,Comentário negativo,Pontuação de comentários,Funcionários,Limpeza,Localização,Comodidades,Conforto,Relação preço-qualidade,Resposta do alojamento
18-12-2022,06b4f9360e803edbc0baa644a8597068305ec74436267ddafde5dc587a4bffaa,94e1301c963273e2db8733d084847bf82a9b1c1bbce70d9ced910e29f3df3862,,"la posizione, la gentilezza dello staff, la colazione spettacolare ","il wc, water separato dal resto e raggiungibile con tre gradini ripidi ",8,10.0,7.5,10.0,7.5,10.0,10.0,
18-12-2022,4715ebb7004d00edad446b0c44332462e8218878f57d9f4e87e1d1111d10c762,d081954ba23018f0fb87c9abb23141241c6669c496f545a387e4ca293191c563,,"Clean, kind staff and fantastic breakfast.",,9,10.0,7.5,7.5,10.0,10.0,7.5,
19-12-2022,07b19ba832d62966eb207a096ae70b58bd466aa5e47f476ee34f14350e88c5f9,63631f9eabea541a3b268e676ee778e01b0bdddf464cc4d830476ce7363fd9c4,,,,8,10.0,7.5,10.0,10.0,10.0,10.0,
20-12-2022,22c304f1b7815ee19c911b75c4a1be614630c44c5b70d1e56658cf5193f1d79a,4149ac721445cc2239c2097d949c1211fac55354ecc6ba9832451d6e0f1b5a29,Highly recommended for a city getaway ,"Great location, beautiful decoration, charming room, tasty breakfast, friendly staff - all in all a relaxing stay in proximity to everything we wanted. ",,10,10.0,10.0,10.0,10.0,10.0,10.0,
21-12-2022,3cb937c08540bc3497aba5e350ec0a26f4fce0a5b6fbb6f3d0a12aed952c181f,e88fcef091c21e4c710eb314da5fc8539f87f63fb99b9a4298e0acf86d20dbf1,"Perfekt läge, fantastisk frukost och trevlig personal.","Bra läge, fantastisk frukost trevlig hjälpsam personal.","Liten dusch och för få klädhängare, det fanns fön men sladden räckte inte till spegeln.",8,10.0,7.5,10.0,7.5,7.5,7.5,
22-12-2022,bbda717a969cd34300487dfd9eb51502ca713a9a49f2c880047dc20357d5309a,cfb566dcc820dbbf92fa16e9aee462fc1fd1ce66abcff552fc00c62576439159,,,,10,10.0,10.0,10.0,10.0,10.0,10.0,
23-12-2022,3152a173cfd3efe739ba51b84937173cf33800fd6d39e49fb92623caa131b4f6,e8fb2c5f565427ad43296005aa2e06cdf522acf8c8b080b88b7d8a204f831a61,,,Man sollte ein Zimmer nach hinten heraus wählen oder Ohropax dabei haben. Die Straßenseite ist 24Std laut.,7,10.0,10.0,5.0,10.0,10.0,10.0,
25-12-2022,65d7612626e9fbb37407b9ba5259f26d5ebf9841c23278ba9b76eeffa0de4f7f,38d3e4757ed00c23e41622e763dcc9fa4ac625483d6ee59ce3686009438d4a89,razoável ,decoração ,não me parceria bem limpo. como fiquei 11 noites percebia que quando elas entravam para limiar não levava mais do qie 10 min. não trufavam as toalhas de banho todos os dias e o problema não é a troca mas o fato delas ficarem molhadas por até 3 dias sem trocar. é ruim não ter uma forma de seca las pelo menos. muito barulho da rua à noite e se fechar totalmente a janela fica abafado. ,9,10.0,5.0,5.0,7.5,7.5,5.0,
26-12-2022,336f7a9fb9a9702211954a6dda450fae0dfb7874e2053094813e663a016e9aa5,9a896ffc407f505ae2dd72049e360f1314376428fe78b89bda0e3b02ef93eaa3,Une très bonne adresse au centre de Lisbonne ,"un très bon accueil, chambre impeccable. ",,9,10.0,10.0,10.0,7.5,10.0,10.0,
26-12-2022,c99537d7e2f2c72c57e2ca2183e3b4d1ffebabb6d343ba69a404c62afb649b98,b5b99669e1e09bbb4e43dec52c63c12bff7a25c8efca5161ade2ec230c9cb2f1,,"O hotel é bem localizado, próximo de duas estações de metrô, paradas de ônibus, bonde e tram. O deslocamento para quaisquer pontos turísticos é fácil. Na área, há vários restaurantes, bares, lojas... não haverá problema nesse quesito. Achei a área calma, não me incomodei com barulho. Cheguei de carro, e tem estacionamentos próximos. Gostei do café da manhã.","O hotel fica numa ladeira. Então, se chegar de metrô ou qualquer outro meio de transporte que não te deixe na porta, você terá que subir com suas malas por uma ladeira. Tive problema com o Wi-Fi no meu quarto - ao que parece, o repetidor de sinal que ficava na porta do meu quarto não estava replicando o sinal. Na véspera da minha volta, resolvi desplugar e plugar na tomada, e funcionou normal o Wi-Fi. Pedi auxílio ao pessoal da recepção, disseram que averiguariam, mas, ao ver que a solução que eu mesmo obtive foi simples, me pergunto se alguém se deu ao trabalho de ir lá verificar. O café da manhã, caso você não solicite diariamente troca de alguns produtos, virá repetido todos os dias.",9,10.0,10.0,10.0,7.5,7.5,7.5,
